x,y,Ca,K,Fe,Zn,Cu,Mn,S,P,Cl,Si,Br,Sr
2,43,1.295,1.443,1.718,1.465,0.161,0.559,1.744,0.823,2.179,1.56,1.297,1.85
2,44,0.281,1.587,1.813,0.606,1.334,2.221,0.0,2.324,0.837,0.953,0.932,0.863
2,45,0.762,1.325,0.299,0.954,0.881,0.995,2.051,1.165,1.529,1.028,1.188,1.055
2,46,1.131,1.269,0.942,1.228,1.381,1.043,1.78,1.505,1.79,1.192,1.808,0.884
2,47,1.503,1.427,0.191,0.724,1.078,1.513,0.623,1.474,1.263,1.27,0.789,0.481
2,48,0.479,1.396,1.49,0.651,1.413,0.879,1.498,0.586,0.879,0.63,1.498,0.716
2,49,1.621,0.887,0.611,1.0,2.54,0.744,1.235,1.42,0.267,0.95,1.815,1.634
2,50,1.936,1.418,1.131,1.306,1.483,1.684,1.255,1.744,0.646,0.748,1.4,2.623
3,1,1.648,1.781,1.032,0.903,0.784,0.43,0.545,0.957,1.642,2.018,1.963,0.658
3,2,1.508,1.246,1.291,0.864,1.264,1.817,1.654,1.189,1.2,2.166,1.098,0.83
3,3,1.354,1.864,1.185,1.25,0.3,2.143,1.168,1.59,1.343,2.19,0.952,1.88
3,4,0.234,1.962,1.449,1.725,0.609,0.892,1.815,1.657,1.269,0.594,1.037,1.662
3,5,0.689,1.701,0.843,2.124,1.046,0.874,1.544,1.44,0.919,1.083,0.934,1.949
3,6,1.968,1.162,0.738,1.975,1.019,1.827,0.229,1.277,2.227,0.709,0.537,0.96
3,7,0.024,1.986,1.525,0.532,0.952,1.008,1.167,0.696,1.943,1.314,2.086,0.464
3,8,1.602,1.034,0.801,0.759,1.349,1.102,1.649,1.283,1.101,0.64,1.437,1.227
3,9,0.59,1.234,1.746,2.007,0.791,1.327,0.978,1.215,1.994,0.775,0.645,1.084
3,10,0.988,0.654,1.069,1.177,0.805,1.648,1.13,2.167,1.63,1.254,1.46,0.387
3,11,1.866,1.086,0.906,1.346,1.111,1.055,0.014,1.82,1.83,0.87,0.885,1.739
3,12,0.738,0.998,0.806,0.636,0.951,0.832,1.283,0.754,1.232,1.737,0.3,1.886
3,13,1.695,1.892,1.116,1.656,0.91,0.649,1.915,1.306,1.131,0.293,1.51,2.232
3,14,0.577,0.603,1.308,0.32,1.594,1.39,1.208,0.554,1.929,1.553,0.498,1.156
3,15,0.716,0.767,1.702,1.387,1.289,1.075,1.128,1.82,0.834,0.549,1.09,1.228
3,16,0.628,0.446,1.335,1.29,1.005,0.694,0.234,0.219,1.554,0.899,0.18,1.034
3,17,0.977,0.309,1.545,1.913,1.063,1.644,1.415,0.682,1.487,0.893,1.035,2.199
3,18,1.806,1.49,0.929,1.273,1.725,1.896,1.132,1.157,2.169,0.595,0.967,1.573
3,19,0.523,1.221,1.072,0.109,0.832,0.918,1.497,0.685,0.996,0.201,0.919,1.263
3,20,1.323,0.375,0.664,1.553,0.771,1.145,1.242,1.765,1.261,0.672,0.387,0.923
3,21,0.915,1.784,1.117,0.804,1.579,1.082,0.645,1.512,1.67,0.923,1.546,0.364
3,22,0.985,0.714,2.026,1.614,1.15,1.004,0.572,1.041,1.701,1.38,0.591,1.718
3,23,0.786,0.541,0.354,1.271,0.93,1.312,1.853,1.406,2.214,0.482,0.878,1.1
3,24,2.28,1.092,2.15,0.958,0.628,2.496,0.92,0.874,0.966,2.155,1.162,0.501
3,25,1.406,0.462,1.648,2.03,1.491,0.588,0.298,1.7,1.279,2.343,1.92,1.21
3,26,1.613,0.35,0.492,1.275,1.366,0.461,0.482,1.168,1.0,0.989,0.658,2.223
3,27,1.602,0.741,2.043,0.724,1.758,0.725,0.864,0.891,1.787,1.28,0.782,1.749
3,28,0.661,1.719,1.063,1.267,1.327,1.702,1.487,1.131,0.774,1.903,1.316,1.867
3,29,2.077,0.752,1.645,2.154,1.134,1.454,0.727,0.514,0.492,1.746,1.638,1.466
3,30,0.753,1.595,0.945,0.604,1.821,2.037,0.858,0.713,1.641,1.611,1.155,1.749
3,31,1.441,1.18,1.234,1.548,0.609,0.679,1.41,1.193,1.171,2.293,1.827,0.892
3,32,0.909,1.159,1.371,2.277,0.262,0.464,1.169,1.511,1.257,1.628,1.971,1.127
3,33,0.645,0.607,1.152,1.065,0.842,2.118,0.854,2.042,0.761,1.43,0.779,0.944
3,34,0.575,1.373,1.552,1.208,0.791,1.035,0.267,1.213,0.715,1.651,0.774,1.633
3,35,1.581,1.232,0.903,1.03,1.528,1.913,1.69,1.463,0.843,2.007,1.653,0.64
3,36,0.645,1.857,1.296,1.205,0.519,1.237,2.238,1.849,1.345,0.563,0.51,1.233
3,37,1.79,0.649,1.032,0.657,1.039,1.423,2.145,1.566,0.983,0.832,0.898,0.47
3,38,2.287,1.885,0.88,0.618,1.122,0.503,1.979,1.649,1.831,1.887,0.769,0.931
3,39,0.849,0.692,0.873,0.587,1.279,0.0,0.431,0.425,1.503,1.458,1.435,2.118
3,40,1.834,1.041,0.886,1.343,0.659,1.651,1.59,1.713,1.227,1.358,0.389,0.739
3,41,0.938,1.25,0.768,1.616,0.621,1.314,0.706,1.186,0.777,0.852,1.404,1.475
3,42,0.63,0.656,0.991,1.765,1.285,0.716,1.011,1.747,1.574,0.478,1.748,0.939
3,43,1.678,1.039,1.145,1.271,0.762,1.004,0.835,1.955,1.65,1.528,1.65,0.861
3,44,1.683,1.575,1.072,1.849,1.982,0.444,1.404,0.067,1.154,1.461,0.759,1.117
3,45,1.334,0.724,1.053,1.562,0.974,1.289,1.167,1.293,0.964,1.889,0.669,1.053
3,46,1.613,0.975,0.843,1.461,1.045,0.474,0.876,1.653,0.869,0.329,0.317,1.216
3,47,0.106,1.737,1.349,1.672,2.329,1.549,0.458,1.644,1.46,0.665,1.359,0.978
3,48,1.424,0.685,0.669,1.087,1.536,0.477,0.623,0.87,2.064,1.071,0.94,0.94
3,49,0.755,1.711,1.111,2.067,1.37,0.973,0.903,1.695,0.176,1.225,1.37,0.632
3,50,1.06,0.798,1.014,0.729,1.291,1.075,2.211,0.592,1.404,1.692,0.616,1.569
4,1,0.441,1.306,1.325,1.139,0.882,1.388,0.755,1.977,1.028,1.159,0.453,1.641
4,2,1.823,0.938,1.88,2.012,0.577,1.531,1.726,0.983,0.452,1.875,1.043,0.687
4,3,0.64,0.261,0.703,1.284,0.868,1.885,0.855,1.206,1.386,1.444,1.291,0.715
4,4,0.475,0.618,1.064,0.878,0.836,0.734,0.605,0.79,0.899,0.873,0.977,0.207
4,5,0.914,1.328,1.699,1.408,1.823,1.651,1.397,1.159,1.057,1.903,0.958,1.201
4,6,0.411,0.879,1.953,1.738,1.403,1.855,0.933,1.878,1.599,0.59,2.264,1.584
4,7,0.34,1.35,1.602,0.954,1.658,0.38,1.149,0.748,1.4,1.4,1.314,1.608
4,8,0.426,1.484,1.511,2.108,1.137,1.175,1.569,1.823,1.531,1.61,1.279,1.31
4,9,0.721,1.556,1.524,0.792,1.44,2.287,0.684,1.726,1.768,0.556,0.982,1.463
4,10,0.673,1.077,1.607,1.185,1.698,1.91,1.357,0.861,2.239,1.321,2.195,1.301
4,11,0.833,0.879,1.547,0.832,0.909,0.483,1.217,2.419,1.793,0.687,1.846,0.644
4,12,0.701,1.206,0.888,1.11,0.931,0.546,0.863,1.024,2.241,0.838,0.0,1.302
4,13,1.497,1.762,1.185,1.021,0.781,1.756,0.983,1.027,1.541,0.484,1.036,1.077
4,14,0.704,1.214,1.509,1.199,1.229,0.34,1.381,1.683,2.368,1.551,1.114,1.15
4,15,1.334,0.983,0.352,0.835,1.215,1.81,1.641,1.203,2.006,0.203,0.567,1.524
4,16,0.147,0.823,1.4,1.742,0.642,2.417,1.814,0.575,1.826,0.819,0.768,0.292
4,17,0.062,0.436,1.272,1.274,1.619,0.49,2.091,1.039,1.939,0.659,1.842,1.735
4,18,1.176,0.865,0.608,0.874,1.096,0.642,1.363,1.004,1.26,1.721,0.81,0.452
4,19,1.081,1.573,1.565,1.151,0.905,0.418,0.766,1.963,1.775,1.214,0.738,1.384
4,20,1.333,1.124,1.551,1.547,0.428,1.218,1.145,1.14,0.724,0.455,0.883,1.473
4,21,1.43,1.794,1.66,1.751,1.838,2.05,0.264,1.56,2.088,1.031,1.886,1.626
4,22,0.407,1.894,1.309,0.884,1.476,1.701,1.309,1.842,0.599,2.261,1.293,0.877
4,23,1.204,1.164,1.26,1.021,1.883,0.79,1.384,1.393,0.587,1.708,0.752,1.914
4,24,0.824,1.753,0.305,1.419,0.325,1.2,1.898,1.24,0.803,1.609,1.4,0.611
4,25,0.816,1.138,0.891,1.948,0.67,0.82,1.775,1.546,1.538,1.557,0.632,1.339
4,26,1.632,1.927,1.254,2.516,1.215,1.839,1.294,0.86,0.829,1.911,1.054,1.908
4,27,2.3,1.807,1.654,1.339,1.938,2.277,1.833,1.925,1.015,1.376,0.795,1.599
4,28,2.082,1.928,1.479,1.539,1.754,1.319,1.854,1.814,1.465,1.685,0.786,1.728
4,29,0.713,1.352,1.47,0.94,1.406,0.611,1.603,1.492,0.96,1.839,1.707,0.283
4,30,0.728,1.653,1.312,1.91,1.209,2.302,0.858,1.901,0.0,2.186,2.244,1.432
4,31,1.558,1.236,1.094,0.927,1.289,1.28,1.105,1.573,1.012,1.169,0.348,1.813
4,32,0.91,1.718,1.533,0.98,1.133,1.532,0.496,0.243,1.03,1.874,1.711,0.852
4,33,0.863,1.333,1.68,1.037,1.236,1.388,1.51,2.0,0.446,1.955,1.176,0.557
4,34,0.674,1.342,0.5,1.413,0.825,1.692,1.412,0.831,1.081,2.132,0.651,1.819
4,35,1.01,0.453,1.616,1.665,2.462,1.406,1.177,1.225,1.013,1.833,0.829,0.505
4,36,0.383,0.915,1.711,0.218,1.154,1.988,1.267,1.416,1.484,0.948,1.206,1.04
4,37,2.213,1.878,1.657,1.536,1.705,1.324,0.59,1.505,1.125,0.68,1.585,2.087
4,38,0.67,1.412,1.387,1.397,0.679,0.642,1.312,1.575,1.864,1.478,0.666,1.555
4,39,1.366,2.021,0.616,1.745,2.055,1.0,1.274,1.333,1.741,0.365,1.093,1.416
4,40,1.132,1.153,2.189,0.659,1.736,1.348,0.813,1.562,0.792,1.41,1.551,0.898
4,41,1.394,1.947,1.664,1.533,1.49,1.046,1.882,0.551,1.033,1.379,1.306,2.268
4,42,0.774,0.646,1.431,1.748,1.552,1.338,0.75,0.418,1.403,1.284,2.212,1.889
4,43,2.035,1.163,0.804,0.701,0.73,2.049,1.577,1.683,1.542,0.556,1.877,1.265
4,44,0.772,1.406,1.659,1.907,1.958,1.951,1.863,1.945,0.862,1.146,0.717,1.249
4,45,1.856,1.349,0.899,0.474,1.483,1.296,1.525,1.136,1.587,0.806,1.076,0.961
4,46,0.737,1.317,1.014,1.6,1.414,0.906,2.112,0.736,0.915,1.268,1.096,2.339
4,47,2.108,1.219,1.782,0.698,1.207,1.576,1.488,1.158,1.245,0.917,2.064,1.753
4,48,1.451,1.094,1.56,0.613,1.678,1.784,1.452,1.053,1.955,2.229,1.253,1.235
4,49,1.671,1.472,1.311,0.785,1.925,1.621,1.07,1.257,1.033,1.019,1.023,1.28
4,50,1.499,1.032,0.865,0.66,0.577,1.075,1.165,0.895,0.147,1.605,0.923,1.198
5,1,2.063,1.627,0.397,1.892,0.996,1.386,1.771,0.693,1.081,2.201,0.537,1.871
5,2,1.479,1.767,1.744,1.407,0.725,1.318,0.878,0.81,1.942,1.104,0.171,1.052
5,3,0.997,2.109,2.318,1.033,1.541,2.076,1.875,2.102,1.076,1.236,1.346,0.813
5,4,1.632,1.68,1.257,1.378,0.75,1.032,1.036,1.521,1.262,1.043,1.898,1.524
5,5,0.711,1.397,0.519,0.529,0.301,1.016,1.049,1.058,1.721,1.645,0.827,1.801
5,6,1.269,0.493,0.024,1.253,2.105,0.807,0.344,1.427,2.044,2.388,0.932,1.261
5,7,2.086,0.66,1.734,0.614,1.823,0.409,1.169,0.982,1.558,1.024,2.107,0.784
5,8,1.314,1.377,0.917,0.852,0.876,1.996,1.204,2.138,1.378,1.239,2.255,1.586
5,9,0.305,1.994,1.573,0.666,0.262,1.415,0.175,1.194,0.506,1.353,1.598,1.804
5,10,1.433,1.096,0.372,0.957,0.184,1.349,0.611,2.2,0.73,1.891,0.568,1.096
5,11,0.959,1.124,1.326,0.763,1.391,1.272,0.24,1.443,1.469,0.574,1.364,1.055
5,12,1.124,1.316,1.266,1.356,1.716,1.079,1.656,1.062,1.375,1.984,0.564,0.521
5,13,0.319,1.377,1.212,0.989,0.923,1.834,1.01,0.709,0.532,0.861,1.765,0.747
5,14,1.222,0.621,1.272,0.845,0.576,0.202,1.436,1.322,2.109,1.301,1.458,1.467
5,15,1.675,1.006,0.608,1.108,0.474,1.212,0.867,1.01,1.6,0.763,1.245,0.71
5,16,0.862,0.373,1.492,2.33,0.567,0.677,1.693,1.567,1.298,1.092,1.195,1.588
5,17,1.855,1.268,0.844,1.111,0.642,1.382,1.906,0.731,1.533,0.661,1.396,0.924
5,18,1.324,1.155,1.893,1.891,0.913,0.804,0.186,1.708,1.52,1.211,1.264,1.683
5,19,0.495,0.865,1.779,1.201,0.501,1.92,1.792,1.2,1.442,1.145,1.29,1.998
5,20,2.079,1.675,1.273,1.267,0.699,0.343,1.113,1.73,0.983,1.18,0.064,1.198
5,21,0.687,0.993,0.497,2.505,0.628,1.658,1.16,1.626,0.447,1.979,1.376,0.617
5,22,0.778,2.267,0.977,1.577,2.027,1.183,1.417,0.549,1.041,2.057,0.852,1.579
5,23,1.876,1.59,1.941,0.955,0.727,0.52,1.935,1.26,1.166,1.144,1.277,1.497
5,24,1.142,0.789,2.303,1.612,1.54,1.004,0.584,1.947,1.022,1.804,1.818,1.174
5,25,1.754,0.868,0.405,0.974,2.12,0.525,1.076,1.254,1.744,0.816,0.588,1.218
5,26,0.5,0.735,1.104,0.852,2.036,1.109,0.9,0.733,1.625,0.121,0.919,0.976
5,27,0.944,1.239,1.541,0.847,1.508,1.718,0.694,1.116,0.595,0.586,1.915,1.248
5,28,0.838,1.754,1.794,2.155,1.416,1.556,1.199,1.654,1.587,1.902,0.456,1.73
5,29,0.54,0.866,1.589,1.217,1.919,1.49,1.603,1.841,1.286,1.427,2.045,0.707
5,30,1.065,0.366,1.126,1.871,1.448,0.753,1.82,1.129,2.101,0.445,0.715,0.92
5,31,0.0,0.967,1.433,0.95,1.229,0.435,0.796,1.211,1.615,1.148,0.65,0.762
5,32,1.902,1.031,1.88,1.292,1.371,1.284,0.585,1.865,1.459,1.88,1.56,0.38
5,33,0.338,1.161,1.676,1.669,1.535,1.906,0.309,1.014,0.842,0.693,1.889,0.921
5,34,1.964,0.498,0.616,1.198,1.706,2.024,1.856,1.767,1.809,0.83,1.369,1.947
5,35,1.449,1.997,1.821,1.551,1.795,1.403,1.737,0.322,0.529,0.879,2.287,1.915
5,36,0.898,0.536,0.693,1.95,0.0,0.786,0.69,2.247,1.127,1.75,1.674,1.136
5,37,0.663,1.201,1.761,0.381,0.883,1.349,1.922,0.372,1.233,0.986,1.294,1.397
5,38,1.48,0.452,1.658,0.656,1.95,1.619,1.08,1.94,1.491,2.137,1.139,0.903
5,39,1.647,0.768,1.021,1.375,1.832,1.22,0.859,1.807,1.379,1.78,0.55,1.407
5,40,1.194,0.991,1.593,0.198,1.151,0.611,0.908,1.682,1.566,1.941,1.832,0.767
5,41,1.338,1.579,0.01,0.79,1.267,0.623,0.747,1.617,1.325,1.175,1.413,1.017
5,42,2.195,1.716,0.773,1.959,1.246,1.986,1.041,1.268,1.277,2.694,1.256,1.455
5,43,1.689,1.602,1.727,1.825,0.776,0.0,1.413,1.216,1.223,1.045,1.188,0.792
5,44,1.979,0.0,0.877,1.797,1.374,0.594,1.523,0.897,0.96,1.377,0.693,1.608
5,45,1.159,0.926,1.154,1.645,1.425,1.049,1.439,0.817,1.0,0.0,2.535,0.851
5,46,0.734,1.673,0.722,1.503,1.55,1.505,2.057,2.436,0.978,1.05,0.923,2.176
5,47,1.368,1.494,1.197,1.674,0.615,1.919,0.433,1.065,0.773,0.873,1.658,1.793
5,48,2.05,1.433,1.457,1.76,2.25,1.622,1.764,0.326,1.21,1.485,1.439,2.189
5,49,1.564,1.688,1.756,0.764,1.819,2.069,1.243,0.665,1.025,0.448,0.417,1.071
5,50,1.879,0.58,1.692,1.788,1.039,1.365,2.095,1.617,1.146,1.295,1.715,1.023
6,1,1.453,1.305,0.726,0.903,0.862,1.826,1.742,1.39,2.116,0.425,1.068,1.238
6,2,0.654,0.958,1.147,0.552,0.826,0.335,1.874,1.286,0.731,1.767,0.607,0.722
6,3,1.255,1.206,0.742,0.0,0.481,0.789,1.664,1.2,0.446,1.683,1.556,1.418
6,4,1.773,1.33,0.512,0.836,1.731,0.756,0.969,1.613,2.476,0.869,0.874,1.726
6,5,1.779,1.268,1.989,0.236,1.012,0.386,1.513,1.492,0.796,1.455,1.215,1.888
6,6,0.67,1.508,1.995,0.619,0.913,1.466,1.145,1.161,1.291,0.549,1.098,1.69
6,7,1.971,0.744,1.541,0.891,0.529,1.428,1.506,1.01,1.665,1.471,0.0,1.314
6,8,2.141,1.394,1.542,1.747,0.493,0.563,0.751,1.019,1.108,1.166,1.06,1.242
6,9,0.986,0.843,1.475,1.085,1.284,0.474,1.553,0.273,1.757,0.967,1.745,2.096
6,10,1.22,1.234,1.964,1.805,0.451,0.562,2.288,1.074,0.57,1.769,0.584,0.865
6,11,1.691,0.693,0.419,0.79,1.323,2.441,0.577,1.615,1.977,1.859,1.205,1.426
6,12,0.367,1.766,1.084,1.491,1.518,2.09,1.271,2.016,1.716,0.565,0.784,0.665
6,13,1.64,0.978,0.109,1.498,0.628,0.869,0.797,1.638,1.509,0.86,2.022,1.691
6,14,1.441,0.906,0.962,0.686,0.916,1.333,1.887,1.539,1.777,0.762,1.088,1.995
6,15,1.594,0.92,1.639,0.74,0.409,1.355,1.498,1.548,1.918,1.507,0.604,0.397
6,16,1.194,1.357,1.021,1.117,1.516,1.114,0.576,0.876,1.011,1.147,1.038,1.597
6,17,1.117,1.196,1.977,0.814,1.826,1.43,0.678,0.651,0.896,1.478,1.705,0.984
